degree,id,pagerank,betweenness_centrality,eigenvector_centrality,katz_centrality
40,14312,1.9106674e-05,5.637024059979012e-06,5.808037e-06,0.0066613383
1696,14313,8.433765e-05,0.0005780979990959167,0.0031799262,0.0071912007
24,14314,1.7387445e-05,1.1022003576499628e-07,7.044989e-07,0.006656687
4342,14315,0.00014796981,0.0001275075919693336,0.012979318,0.00807262
1642,14316,5.6116078e-05,7.684888259973377e-06,0.0064450153,0.0072077443
232,14317,2.8548486e-05,4.211575799217826e-08,3.9110724e-05,0.006716876
52,14318,1.667709e-05,2.020661440838012e-06,2.6193698e-05,0.006664941
138,14319,1.1309056e-05,3.7425031962357025e-09,0.0008216868,0.00669927
392,15728,2.397556e-05,6.060858481760079e-07,0.0004016765,0.006772912
172,15729,1.37375155e-05,4.3527176529778444e-08,0.0004934733,0.0067063714
1896,15730,5.6082197e-05,3.1819720334169688e-06,0.009609063,0.0073032374
84,15732,1.5703723e-05,6.383275774624053e-08,2.4154799e-05,0.0066744136
492,15733,9.508896e-05,0.00020029558800160885,3.5512658e-05,0.0067908284
258,15735,2.1374399e-05,6.266729087656131e-06,0.00044410778,0.006731593
278,15736,1.8651055e-05,2.2087616002863797e-07,0.00035539703,0.006739031
1190,15737,4.9541566e-05,3.300253956695087e-05,0.00446501,0.0070462557
8,15738,8.089436e-06,0.0,1.5421258e-05,0.0066525377
1480,15739,6.2939376e-05,1.800871905288659e-05,0.0017301101,0.0071143215
38,15740,1.9819196e-05,4.7797755541978404e-05,1.5492098e-05,0.006660949
1380,15741,4.3963868e-05,1.2333692893662374e-06,0.0070297476,0.007131354
16,15742,8.364806e-06,1.760019352481379e-10,4.1576954e-05,0.0066552027
